key_id,year,funded,amount,lead_unit_code,project_title,originating_sponsor,originating_sponsor_type,direct_sponsor,direct_sponsor_type,sponsor_selection_rule
K000154179,2022,FALSE,22400,1173,Enhancing the Efficacy and Reducing Toxicity of Triple Negative Breast Cancer Treatment with Quercetin,PA Breast Cancer Coalition,Domestic Non-Profit (other than Domestic Foundations),Pennsylvania State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154641,2022,TRUE,134995.49,1170,Updating Compost Amendment Impacts in DayCent for GHG Modeling,State of California,Other Domestic State Government,"University of California, Berkeley",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152255,2022,TRUE,60170.9,1172,Leveraging Networks of Food Policy Councils to Inform Metrics of Success,USDA-AMS-Agricultural Marketing Service,Federal,The Ohio State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152459,2022,TRUE,37733.41,1172,CSU Contributions to Economic Work on the National Clean Plant Network (NCPN) Program,USDA-APHIS-Animal Plant Health Insp Srvc,Federal,Cornell University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153118,2022,TRUE,26680.91,1171,Life Cycle Assessment Workshop for USDA-ARS,USDA-ARS-Agricultural Research Service,Federal,University of Arkansas,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153331,2022,FALSE,1096901.12,1171,"Systems-Based Integrated Approach to Demonstrating, Promoting and Enhancing the Sustainability of Dairy Goat Production in the United States",USDA-NIFA-National Institute of Food and Agriculture,Federal,Iowa State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153302,2022,FALSE,208563.12,1171,Muscle Proteomic and Metabolomic Response to Managed Growth Rate in Pigs - Linking Growth to Variation in Fresh Pork Quality,USDA-NIFA-National Institute of Food and Agriculture,Federal,Iowa State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154069,2022,FALSE,198887.2,1170,"Multi-Stakeholder Dialogues to Support Critical Agricultural Infrastructure, Climate Resilience, and Rural Community Vitality in the High Plains",USDA-NIFA-National Institute of Food and Agriculture,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153795,2022,TRUE,304012.25,1170,Plant Breeding-CIN: A Sorghum Innovation Network to Accelerate Trait Delivery in a Major Climate-Safe Crop,USDA-NIFA-National Institute of Food and Agriculture,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153675,2022,TRUE,61375.67,1172,"Environmental Solutions for the ""Little Guy"": Using Precision Feeding to Improve the Sustainability of Feedlot Finished Beef Cattle",USDA-NIFA-National Institute of Food and Agriculture,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152807,2022,TRUE,119993.75,1177,Great Plains Diagnostic Network - Colorado State University Plant Diagnostic Clinic 2022-2026,USDA-NIFA-National Institute of Food and Agriculture,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154580,2022,FALSE,29999.58,1173,Evaluating Finishing Protocols and Peat Alternatives to Optimize the Marketability of Western Native Plants,USDA-NIFA-National Institute of Food and Agriculture,Federal,Montana State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153889,2022,TRUE,349685.79,1170,Looking Beyond Yield: Tools for Producers to Capture and Communicate the Results of their Soil Health Experiments in the Semi-Arid High Plains,USDA-NIFA-National Institute of Food and Agriculture,Federal,Montana State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153602,2022,FALSE,266616.14,1173,Germination with Effects on Malt and Food Quality,USDA-NIFA-National Institute of Food and Agriculture,Federal,Montana State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151935,2022,FALSE,29687.26,1171,Matthew McQuagge: Enhancing Ranch Management and Financial Analysis on Western Ranches,USDA-NIFA-National Institute of Food and Agriculture,Federal,Montana State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153236,2022,FALSE,1820617.98,1170,Testing Agricultural Performance Solutions to Advance Climate Smart Crop Production in the U.S. Central Plains,USDA-NIFA-National Institute of Food and Agriculture,Federal,Oklahoma State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152206,2022,FALSE,649289.96,1171,Enhancing the Competitiveness of the US Organic Beef,USDA-NIFA-National Institute of Food and Agriculture,Federal,Oklahoma State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153611,2022,FALSE,3000,1173,Western Regional Center to Enhance Food Safety: Fostering Collaboration through Continued Food Safety Education and Stakeholder Support of FSMA Implementation,USDA-NIFA-National Institute of Food and Agriculture,Federal,Oregon State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153438,2022,FALSE,20580.16,1171,A Novel Approach to Manage Digital Dermatitis in Dairy Heifers,USDA-NIFA-National Institute of Food and Agriculture,Federal,Texas A and M University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154315,2022,TRUE,23333.72,1173,IR-4 Minor Crop Pest Management (2022),USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154311,2022,TRUE,13888,1177,IR-4 Minor Crop Pest Management,USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153900,2022,TRUE,86396.94,1170,PARTNERSHIP: Triticale Research and Breeding for Grain Quality and Yield,USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153589,2022,TRUE,321994.12,1173,Tailoring Hydroponic Factors to Controlled-Environment Production of Emerging Food Crops,USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Delaware,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152745,2022,FALSE,213153.8,1170,"Alfalfa-Grass Systems and Irrigation Strategies for Improving Productivity, Stand Persistence, Profitability, and Soil Health in the West",USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Idaho,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
