key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry,investigator_name,investigator_role,investigator_unit_code,investigator_last,investigator_first,investigator_person_key,parse_success,roster_last,roster_first,roster_area,dare_roster_match
K000162714,2025,1171,Animal Sciences,FALSE,"Belk,Keith (Key Person) 1171","Belk,Keith",Key Person,1171,Belk,Keith,belk|k,TRUE,,,,FALSE
K000162646,2025,1177,Agricultural Biology,FALSE,"Shergill,Lovreet S (Primary PI) 1177","Shergill,Lovreet S",Primary PI,1177,Shergill,Lovreet S,shergill|l,TRUE,,,,FALSE
K000162646,2025,1177,Agricultural Biology,FALSE,"Schipanski,Meagan Erin (Co-PI) 1170","Schipanski,Meagan Erin",Co-PI,1170,Schipanski,Meagan Erin,schipanski|m,TRUE,,,,FALSE
K000162265,2025,1171,Animal Sciences,FALSE,"Carvalho,Pedro Henrique (Primary PI) 1171","Carvalho,Pedro Henrique",Primary PI,1171,Carvalho,Pedro Henrique,carvalho|p,TRUE,,,,FALSE
K000162265,2025,1171,Animal Sciences,FALSE,"Gomes Sitorski,Leonardo (Co-PI) 1171","Gomes Sitorski,Leonardo",Co-PI,1171,Gomes Sitorski,Leonardo,gomes sitorski|l,TRUE,,,,FALSE
K000162265,2025,1171,Animal Sciences,FALSE,"Vargas Martinez,Juan de Jesus de Jesus (Co-PI) 1171","Vargas Martinez,Juan de Jesus de Jesus",Co-PI,1171,Vargas Martinez,Juan de Jesus de Jesus,vargas martinez|j,TRUE,,,,FALSE
K000162265,2025,1171,Animal Sciences,FALSE,"Place,Sara (Co-PI) 1171","Place,Sara",Co-PI,1171,Place,Sara,place|s,TRUE,,,,FALSE
K000162084,2025,1170,Soil + Crop Sciences,FALSE,"Wrighton,Kelly Catherine (Primary PI) 1170","Wrighton,Kelly Catherine",Primary PI,1170,Wrighton,Kelly Catherine,wrighton|k,TRUE,,,,FALSE
K000162084,2025,1170,Soil + Crop Sciences,FALSE,"Mook,Anneloes Chantal (Co-PI) 1730","Mook,Anneloes Chantal",Co-PI,1730,Mook,Anneloes Chantal,mook|a,TRUE,,,,FALSE
K000162084,2025,1170,Soil + Crop Sciences,FALSE,"Borton,Mikayla Ann (Co-PI) 1170","Borton,Mikayla Ann",Co-PI,1170,Borton,Mikayla Ann,borton|m,TRUE,,,,FALSE
K000160212,2025,1177,Agricultural Biology,FALSE,"Eubanks,Micky (Primary PI) 1177","Eubanks,Micky",Primary PI,1177,Eubanks,Micky,eubanks|m,TRUE,,,,FALSE
K000161607,2025,1170,Soil + Crop Sciences,FALSE,"Borton,Mikayla Ann (Primary PI) 1170","Borton,Mikayla Ann",Primary PI,1170,Borton,Mikayla Ann,borton|m,TRUE,,,,FALSE
K000161607,2025,1170,Soil + Crop Sciences,FALSE,"Boot,Claudia (Co-PI) 2019","Boot,Claudia",Co-PI,2019,Boot,Claudia,boot|c,TRUE,,,,FALSE
K000161607,2025,1170,Soil + Crop Sciences,FALSE,"Weir,Tiffany L (Co-PI) 1571","Weir,Tiffany L",Co-PI,1571,Weir,Tiffany L,weir|t,TRUE,,,,FALSE
K000161607,2025,1170,Soil + Crop Sciences,FALSE,"Wrighton,Kelly Catherine (Co-PI) 1170","Wrighton,Kelly Catherine",Co-PI,1170,Wrighton,Kelly Catherine,wrighton|k,TRUE,,,,FALSE
K000162002,2025,1177,Agricultural Biology,FALSE,"Stewart,Jane E (Primary PI) 1177","Stewart,Jane E",Primary PI,1177,Stewart,Jane E,stewart|j,TRUE,,,,FALSE
K000162477,2025,1177,Agricultural Biology,FALSE,"Shergill,Lovreet S (Primary PI) 1177","Shergill,Lovreet S",Primary PI,1177,Shergill,Lovreet S,shergill|l,TRUE,,,,FALSE
K000162477,2025,1177,Agricultural Biology,FALSE,"Dayan,Franck E (Co-PI) 1177","Dayan,Franck E",Co-PI,1177,Dayan,Franck E,dayan|f,TRUE,,,,FALSE
K000162477,2025,1177,Agricultural Biology,FALSE,"Gaines,Todd A (Co-PI) 1177","Gaines,Todd A",Co-PI,1177,Gaines,Todd A,gaines|t,TRUE,,,,FALSE
K000162479,2025,1177,Agricultural Biology,FALSE,"Nachappa,Punya (Primary PI) 1177","Nachappa,Punya",Primary PI,1177,Nachappa,Punya,nachappa|p,TRUE,,,,FALSE
